Dataset,Iteration,Number Of Items,Best Value,Optimal Value,Operations,Time (Milli)
f4_l-d_kp_4_11,10,4,23,23,350022,709
f3_l-d_kp_4_20,10,4,35,35,349842,762
f9_l-d_kp_5_80,10,5,130,130,422469,769
f7_l-d_kp_7_50,10,7,107,107,567107,725
f6_l-d_kp_10_60,10,10,52,52,784512,764
f1_l-d_kp_10_269,10,10,295,295,784830,768
f2_l-d_kp_20_878,10,20,1024,1024,1508768,882
f10_l-d_kp_20_879,10,20,1025,1025,1510652,895
f8_l-d_kp_23_10000,10,23,9767,9767,1728338,880
knapPI_3_100_1000_1,10,100,2390,2397,7301198,1326
knapPI_2_100_1000_1,10,100,1481,1514,7311256,1334
knapPI_1_100_1000_1,10,100,18083,9147,7305162,1458
knapPI_2_200_1000_1,10,200,1504,1634,14549054,1983
knapPI_3_200_1000_1,10,200,3900,2697,14545120,2001
knapPI_1_200_1000_1,10,200,31905,11238,14536672,2270
knapPI_3_500_1000_1,10,500,14613,7117,36293168,4429
knapPI_2_500_1000_1,10,500,6832,4566,36265770,4597
knapPI_1_500_1000_1,10,500,91515,28857,36278114,4904
knapPI_2_1000_1000_1,10,1000,43991,9052,72511922,9036
knapPI_3_1000_1000_1,10,1000,67175,14390,72439280,9141
knapPI_1_1000_1000_1,10,1000,179560,54503,72460082,9320
knapPI_3_2000_1000_1,10,2000,265509,28919,144867862,17971
knapPI_2_2000_1000_1,10,2000,204527,18051,145028052,18360
knapPI_1_2000_1000_1,10,2000,433143,110625,144766024,19461
knapPI_3_5000_1000_1,10,5000,1062418,72505,362315196,47221
knapPI_2_5000_1000_1,10,5000,889459,44356,362160066,47355
knapPI_1_5000_1000_1,10,5000,1168959,276457,362230260,49553
knapPI_2_10000_1000_1,10,10000,2087706,90204,724179938,94529
knapPI_1_10000_1000_1,10,10000,2417809,563647,724389942,96527
knapPI_3_10000_1000_1,10,10000,2500225,146919,724800108,98987
