Dataset,Iteration,Number Of Items,Best Value,Optimal Value,Operations,Time (Milli)
f4_l-d_kp_4_11,10,4,29,23,3608,3
f3_l-d_kp_4_20,10,4,37,35,3611,3
f9_l-d_kp_5_80,10,5,142,130,4507,3
f7_l-d_kp_7_50,10,7,161,107,6308,4
f6_l-d_kp_10_60,10,10,68,52,9011,4
f1_l-d_kp_10_269,10,10,334,295,9010,4
f2_l-d_kp_20_878,10,20,991,1024,18031,7
f10_l-d_kp_20_879,10,20,973,1025,18074,6
f8_l-d_kp_23_10000,10,23,10704,9767,20726,6
knapPI_2_100_1000_1,10,100,1347,1514,92092,11
knapPI_3_100_1000_1,10,100,1603,2397,92515,10
knapPI_1_100_1000_1,10,100,1729,9147,92593,11
knapPI_2_200_1000_1,10,200,1426,1634,191016,22
knapPI_3_200_1000_1,10,200,1677,2697,190743,20
knapPI_1_200_1000_1,10,200,1246,11238,190036,20
knapPI_2_500_1000_1,10,500,3071,4566,513440,63
knapPI_3_500_1000_1,10,500,3897,7117,507298,62
knapPI_1_500_1000_1,10,500,3672,28857,506306,62
knapPI_2_1000_1000_1,10,1000,111674,9052,990141,152
knapPI_3_1000_1000_1,10,1000,141174,14390,985949,159
knapPI_1_1000_1000_1,10,1000,110734,54503,987556,154
knapPI_2_2000_1000_1,10,2000,363989,18051,1885891,343
knapPI_3_2000_1000_1,10,2000,432138,28919,1884830,331
knapPI_1_2000_1000_1,10,2000,355951,110625,1888878,335
knapPI_2_5000_1000_1,10,5000,1125629,44356,4599891,847
knapPI_3_5000_1000_1,10,5000,1368562,72505,4584662,847
knapPI_1_5000_1000_1,10,5000,1127599,276457,4590706,853
knapPI_2_10000_1000_1,10,10000,2432161,90204,9090397,1728
knapPI_3_10000_1000_1,10,10000,2878499,146919,9092882,1742
knapPI_1_10000_1000_1,10,10000,2385662,563647,9094974,1708
